objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
6303143,Wohnung,Kehrgasse 36,Bern,3018,3.5,NULL,1190,260,1450
6304080,Wohnung,Gantrischstrasse 10,Bern,3006,4,125,2000,380,2380
6304205,Wohnung,Ostring 21,Bern,3006,3,76,1350,170,1520
6310833,Wohnung,Tscharnerstrasse 28,Bern,3007,4.5,94,1900,350,2250
6313184,Wohnung,Tscharnerstrasse 37,Bern,3007,3.5,79,1680,170,1850
6316303,Wohnung,Talgutzentrum 26,Ittigen,3063,3.5,83,1430,240,1670
6317088,Wohnung,"Flugbrunnenstrasse, 22",Bolligen,3065,4.5,109,1700,350,2050
6318674,Wohnung,NULL,Bern,3008,2,36,1620,NULL,1620
6319113,Wohnung,NULL,Bern,3008,2,40,1620,NULL,1620
6320520,Wohnung,Myrtenweg 6,Bern,3018,3.5,65,1400,230,1630
6325492,Wohnung,Bernstrasse 57,Bern,3018,3.5,NULL,1500,240,1740
6325494,Wohnung,Reichenbachstrasse 87A,Bern,3004,3.5,105,1950,350,2300
6325630,Wohnung,Ostring 14,Bern,3006,2.5,58,1260,200,1460
6328046,Wohnung,Brunnhofweg 47,Bern,3007,2.5,50,NULL,NULL,1650
